Id	Cvs[1]	Cvs[2]	Cvs[3]	Cvs[4]	CvContent[1]	CvContent[2]	CvContent[3]	CvContent[4]
100001782	0	200001782	0	0	...And the Child of Revelation came along and saved us.	...And the Child of Revelation came along and saved us.	...And the Child of Revelation came along and saved us.	...And the Child of Revelation came along and saved us.
100001783	0	200001783	0	0	Indeed. At Scarlet Revelation, both He and the Red Tide have shown us that death is not where it all ends, which is how we found the courage in us and never fight again out of panic.	Indeed. At Scarlet Revelation, both He and the Red Tide have shown us that death is not where it all ends, which is how we found the courage in us and never fight again out of panic.	Indeed. At Scarlet Revelation, both He and the Red Tide have shown us that death is not where it all ends, which is how we found the courage in us and never fight again out of panic.	Indeed. At Scarlet Revelation, both He and the Red Tide have shown us that death is not where it all ends, which is how we found the courage in us and never fight again out of panic.
100001784	0	200001784	0	0	And He said He would guide us with the Revelation no matter where we are—be it here in the snow or in the Red Tide, which is why we decided to settle down here.	And He said He would guide us with the Revelation no matter where we are—be it here in the snow or in the Red Tide, which is why we decided to settle down here.	And He said He would guide us with the Revelation no matter where we are—be it here in the snow or in the Red Tide, which is why we decided to settle down here.	And He said He would guide us with the Revelation no matter where we are—be it here in the snow or in the Red Tide, which is why we decided to settle down here.
100001785	0	200001785	0	0	And this altar here... is proof of the Revelation.	And this altar here... is proof of the Revelation.	And this altar here... is proof of the Revelation.	And this altar here... is proof of the Revelation.
100001786	0	200001786	0	0	So you decided to settle down here because this God of Revelation showed you how to fix the heating system and how to grow plants, huh? Where is everyone else?	So you decided to settle down here because this God of Revelation showed you how to fix the heating system and how to grow plants, huh? Where is everyone else?	So you decided to settle down here because this God of Revelation showed you how to fix the heating system and how to grow plants, huh? Where is everyone else?	So you decided to settle down here because this God of Revelation showed you how to fix the heating system and how to grow plants, huh? Where is everyone else?
100001787	0	200001787	0	0	They all went into the Red Tide.	They all went into the Red Tide.	They all went into the Red Tide.	They all went into the Red Tide.
100001788	0	200001788	0	0	And you're the only ones alive, huh... And what happened to this God of Revelation? Dead?	And you're the only ones alive, huh... And what happened to this God of Revelation? Dead?	And you're the only ones alive, huh... And what happened to this God of Revelation? Dead?	And you're the only ones alive, huh... And what happened to this God of Revelation? Dead?
100001789	0	200001789	0	0	Well, I suppose you people would say he "went into the Red Tide."	Well, I suppose you people would say he "went into the Red Tide."	Well, I suppose you people would say he "went into the Red Tide."	Well, I suppose you people would say he "went into the Red Tide."
100001790	0	200001790	0	0	No, He didn't. He decided to not do that because he ended up severely injured trying to protect us.	No, He didn't. He decided to not do that because he ended up severely injured trying to protect us.	No, He didn't. He decided to not do that because he ended up severely injured trying to protect us.	No, He didn't. He decided to not do that because he ended up severely injured trying to protect us.
100001791	0	200001791	0	0	Where is he, then?	Where is he, then?	Where is he, then?	Where is he, then?
100001792	0	200001792	0	0	He threw Himself in there... saying that He'd had enough suffering, and that He did not wish to prolong his suffering with the Red Tide.	He threw Himself in there... saying that He'd had enough suffering, and that He did not wish to prolong his suffering with the Red Tide.	He threw Himself in there... saying that He'd had enough suffering, and that He did not wish to prolong his suffering with the Red Tide.	He threw Himself in there... saying that He'd had enough suffering, and that He did not wish to prolong his suffering with the Red Tide.
100001793	0	200001793	0	0	...	...	...	...
100001794	0	200001794	0	0	We have no idea why He said that, nor do we know why He made that choice. We don't know what we're supposed to do next, which is why we're staying here to learn about the other Children of Revelation.	We have no idea why He said that, nor do we know why He made that choice. We don't know what we're supposed to do next, which is why we're staying here to learn about the other Children of Revelation.	We have no idea why He said that, nor do we know why He made that choice. We don't know what we're supposed to do next, which is why we're staying here to learn about the other Children of Revelation.	We have no idea why He said that, nor do we know why He made that choice. We don't know what we're supposed to do next, which is why we're staying here to learn about the other Children of Revelation.
100001795	0	200001795	0	0	And then someone came along and told us that we'd be able to see Him again if we pass a test from God.	And then someone came along and told us that we'd be able to see Him again if we pass a test from God.	And then someone came along and told us that we'd be able to see Him again if we pass a test from God.	And then someone came along and told us that we'd be able to see Him again if we pass a test from God.
100001796	0	200001796	0	0	Before we left for the test, we entrusted a friend from the site with the altar—and let the friend pick the vegetables here in exchange for taking care of the altar.	Before we left for the test, we entrusted a friend from the site with the altar—and let the friend pick the vegetables here in exchange for taking care of the altar.	Before we left for the test, we entrusted a friend from the site with the altar—and let the friend pick the vegetables here in exchange for taking care of the altar.	Before we left for the test, we entrusted a friend from the site with the altar—and let the friend pick the vegetables here in exchange for taking care of the altar.
100001797	0	200001797	0	0	And after everything they tried, we were told that we didn't pass the test.	And after everything they tried, we were told that we didn't pass the test.	And after everything they tried, we were told that we didn't pass the test.	And after everything they tried, we were told that we didn't pass the test.
100001798	0	200001798	0	0	Oh... and that's how I ended up with all these pieces of junk, huh?	Oh... and that's how I ended up with all these pieces of junk, huh?	Oh... and that's how I ended up with all these pieces of junk, huh?	Oh... and that's how I ended up with all these pieces of junk, huh?
100001799	0	200001799	0	0	Please stop calling us that. You might be a prophet, but you failed the test all the same.	Please stop calling us that. You might be a prophet, but you failed the test all the same.	Please stop calling us that. You might be a prophet, but you failed the test all the same.	Please stop calling us that. You might be a prophet, but you failed the test all the same.
100001800	0	200001800	0	0	Wait, what?	Wait, what?	Wait, what?	Wait, what?
100001801	0	200001801	0	0	The person who came to see us off said, "She might be able to predict revelations, but she failed the test like you all did."	The person who came to see us off said, "She might be able to predict revelations, but she failed the test like you all did."	The person who came to see us off said, "She might be able to predict revelations, but she failed the test like you all did."	The person who came to see us off said, "She might be able to predict revelations, but she failed the test like you all did."
100001802	0	200001802	0	0	She refused to accept that. We even got into a fight when we told her that she'd failed the test.	She refused to accept that. We even got into a fight when we told her that she'd failed the test.	She refused to accept that. We even got into a fight when we told her that she'd failed the test.	She refused to accept that. We even got into a fight when we told her that she'd failed the test.
100001803	0	200001803	0	0	I'm not like you people!	I'm not like you people!	I'm not like you people!	I'm not like you people!
100001804	0	200001804	0	0	Grandpa Gale had a long argument with us—and when he finally convinced her, she started crying...	Grandpa Gale had a long argument with us—and when he finally convinced her, she started crying...	Grandpa Gale had a long argument with us—and when he finally convinced her, she started crying...	Grandpa Gale had a long argument with us—and when he finally convinced her, she started crying...
100001805	0	200001805	0	0	I just wanted to see him again... and I ended up here before I even knew it.	I just wanted to see him again... and I ended up here before I even knew it.	I just wanted to see him again... and I ended up here before I even knew it.	I just wanted to see him again... and I ended up here before I even knew it.
100001806	0	200001806	0	0	And so did we. We just wanted to see Him again, too.	And so did we. We just wanted to see Him again, too.	And so did we. We just wanted to see Him again, too.	And so did we. We just wanted to see Him again, too.
100001807	0	200001807	0	0	...	...	...	...
100001808	0	200001808	0	0	Oh boy... We're the same. We don't trust ourselves, we want to get things done with someone's power, and... it never even hit me how wrong I am.	Oh boy... We're the same. We don't trust ourselves, we want to get things done with someone's power, and... it never even hit me how wrong I am.	Oh boy... We're the same. We don't trust ourselves, we want to get things done with someone's power, and... it never even hit me how wrong I am.	Oh boy... We're the same. We don't trust ourselves, we want to get things done with someone's power, and... it never even hit me how wrong I am.
100001809	0	200001809	0	0	I thought that was just an insignificant blunder, but when you put all the blunders and biases together, they become a mountain that can crush you.	I thought that was just an insignificant blunder, but when you put all the blunders and biases together, they become a mountain that can crush you.	I thought that was just an insignificant blunder, but when you put all the blunders and biases together, they become a mountain that can crush you.	I thought that was just an insignificant blunder, but when you put all the blunders and biases together, they become a mountain that can crush you.
100001810	0	200001810	0	0	You said you never wanted to give up on these worshippers, Bianca. Have you ever thought the same of me?	You said you never wanted to give up on these worshippers, Bianca. Have you ever thought the same of me?	You said you never wanted to give up on these worshippers, Bianca. Have you ever thought the same of me?	You said you never wanted to give up on these worshippers, Bianca. Have you ever thought the same of me?
100001811	0	200001811	0	0	No, I don't think so... because I've crossed that line that I shouldn't have.	No, I don't think so... because I've crossed that line that I shouldn't have.	No, I don't think so... because I've crossed that line that I shouldn't have.	No, I don't think so... because I've crossed that line that I shouldn't have.
100001812	0	200001812	0	0	Who am I to even laugh at others...	Who am I to even laugh at others...	Who am I to even laugh at others...	Who am I to even laugh at others...
100001813	0	200001813	0	0	But not all hope is lost, Ma'am. Together, we're strong, and I'm sure we'll be able to find the Revelation.	But not all hope is lost, Ma'am. Together, we're strong, and I'm sure we'll be able to find the Revelation.	But not all hope is lost, Ma'am. Together, we're strong, and I'm sure we'll be able to find the Revelation.	But not all hope is lost, Ma'am. Together, we're strong, and I'm sure we'll be able to find the Revelation.
100001814	0	200001814	0	0	We've got a situation here. Bianca asked the Gray Ravens for help and they wiped out the men we sent there. The terminal you lost proved mighty "helpful" for Bianca.	We've got a situation here. Bianca asked the Gray Ravens for help and they wiped out the men we sent there. The terminal you lost proved mighty "helpful" for Bianca.	We've got a situation here. Bianca asked the Gray Ravens for help and they wiped out the men we sent there. The terminal you lost proved mighty "helpful" for Bianca.	We've got a situation here. Bianca asked the Gray Ravens for help and they wiped out the men we sent there. The terminal you lost proved mighty "helpful" for Bianca.
100001815	0	200001815	0	0	What?	What?	What?	What?
100001816	0	200001816	0	0	You need to clean up your own mess.	You need to clean up your own mess.	You need to clean up your own mess.	You need to clean up your own mess.
100001817	0	200001817	0	0	I'm still going to try to trick Bianca into coming to this church. You need to ask those worshippers to meet her—I just started the countdown timers on their EMP bands remotely.	I'm still going to try to trick Bianca into coming to this church. You need to ask those worshippers to meet her—I just started the countdown timers on their EMP bands remotely.	I'm still going to try to trick Bianca into coming to this church. You need to ask those worshippers to meet her—I just started the countdown timers on their EMP bands remotely.	I'm still going to try to trick Bianca into coming to this church. You need to ask those worshippers to meet her—I just started the countdown timers on their EMP bands remotely.
100001818	0	200001818	0	0	Are you trying to sacrifice them to kill Bianca?	Are you trying to sacrifice them to kill Bianca?	Are you trying to sacrifice them to kill Bianca?	Are you trying to sacrifice them to kill Bianca?
100001819	0	200001819	0	0	Look, we're putting these garbage to good use here, and I'll have you meet Ascendants once you're done.	Look, we're putting these garbage to good use here, and I'll have you meet Ascendants once you're done.	Look, we're putting these garbage to good use here, and I'll have you meet Ascendants once you're done.	Look, we're putting these garbage to good use here, and I'll have you meet Ascendants once you're done.
100001820	0	200001820	0	0	And that's what you've been telling me this whole time, you friggin' liar!	And that's what you've been telling me this whole time, you friggin' liar!	And that's what you've been telling me this whole time, you friggin' liar!	And that's what you've been telling me this whole time, you friggin' liar!
100001821	0	200001821	0	0	Get ahold of yourself there. I'm just one of the points of contact and I'm just doing what I've been told to do. Getting mad at me isn't going to change anything.	Get ahold of yourself there. I'm just one of the points of contact and I'm just doing what I've been told to do. Getting mad at me isn't going to change anything.	Get ahold of yourself there. I'm just one of the points of contact and I'm just doing what I've been told to do. Getting mad at me isn't going to change anything.	Get ahold of yourself there. I'm just one of the points of contact and I'm just doing what I've been told to do. Getting mad at me isn't going to change anything.
100001822	0	200001822	0	0	Haha... Right, you're just doing what you've been told to do. So am I, and so are these people. We're all the same, and we're all just items to be dispensed with at the end of the day.	Haha... Right, you're just doing what you've been told to do. So am I, and so are these people. We're all the same, and we're all just items to be dispensed with at the end of the day.	Haha... Right, you're just doing what you've been told to do. So am I, and so are these people. We're all the same, and we're all just items to be dispensed with at the end of the day.	Haha... Right, you're just doing what you've been told to do. So am I, and so are these people. We're all the same, and we're all just items to be dispensed with at the end of the day.
100001823	0	200001823	0	0	Except I'm nowhere as lousy as you.	Except I'm nowhere as lousy as you.	Except I'm nowhere as lousy as you.	Except I'm nowhere as lousy as you.
100001824	0	200001824	0	0	That happens to be my thought exactly—until today, that is.	That happens to be my thought exactly—until today, that is.	That happens to be my thought exactly—until today, that is.	That happens to be my thought exactly—until today, that is.
100001825	0	200001825	0	0	She threw away the terminal after the call and said she was going to remove this thing she called a "test band" from me.	She threw away the terminal after the call and said she was going to remove this thing she called a "test band" from me.	She threw away the terminal after the call and said she was going to remove this thing she called a "test band" from me.	She threw away the terminal after the call and said she was going to remove this thing she called a "test band" from me.
100001826	0	200001826	0	0	And that's when I knew what that band was for... But right when she removed it from me, I heard a "Bang!" coming from her head...	And that's when I knew what that band was for... But right when she removed it from me, I heard a "Bang!" coming from her head...	And that's when I knew what that band was for... But right when she removed it from me, I heard a "Bang!" coming from her head...	And that's when I knew what that band was for... But right when she removed it from me, I heard a "Bang!" coming from her head...
100001827	0	200001827	0	0	She seemed in pain all over, but she just kept on talking to us.	She seemed in pain all over, but she just kept on talking to us.	She seemed in pain all over, but she just kept on talking to us.	She seemed in pain all over, but she just kept on talking to us.
100001828	0	200001828	0	0	We're out of time... Go now. Go... to the Holy Maiden, the one who's as white and pure as this snowfield. She's on her way here...	We're out of time... Go now. Go... to the Holy Maiden, the one who's as white and pure as this snowfield. She's on her way here...	We're out of time... Go now. Go... to the Holy Maiden, the one who's as white and pure as this snowfield. She's on her way here...	We're out of time... Go now. Go... to the Holy Maiden, the one who's as white and pure as this snowfield. She's on her way here...
100001829	0	200001829	0	0	I'm sure she can save you—unlike me, who's a fake...	I'm sure she can save you—unlike me, who's a fake...	I'm sure she can save you—unlike me, who's a fake...	I'm sure she can save you—unlike me, who's a fake...
100001830	0	200001830	0	0	Just go now...! I might turn into a Corrupted any second now...! Go, just go already!	Just go now...! I might turn into a Corrupted any second now...! Go, just go already!	Just go now...! I might turn into a Corrupted any second now...! Go, just go already!	Just go now...! I might turn into a Corrupted any second now...! Go, just go already!
100001831	0	200001831	0	0	And then we met you... Gale was tough and ran the fastest, but he didn't make it...	And then we met you... Gale was tough and ran the fastest, but he didn't make it...	And then we met you... Gale was tough and ran the fastest, but he didn't make it...	And then we met you... Gale was tough and ran the fastest, but he didn't make it...
100001832	0	200001832	0	0	Adeline... is Grandpa Gale ever coming back?	Adeline... is Grandpa Gale ever coming back?	Adeline... is Grandpa Gale ever coming back?	Adeline... is Grandpa Gale ever coming back?
100001833	0	200001833	0	0	What are we supposed to do now, Holy Maiden?	What are we supposed to do now, Holy Maiden?	What are we supposed to do now, Holy Maiden?	What are we supposed to do now, Holy Maiden?
100001834	0	200001834	0	0	...	...	...	...
100001835	0	200001835	0	0	If you don't want to go to the refuge site, then Grace is the only person who can take you in now. She's with the Forsaken.	If you don't want to go to the refuge site, then Grace is the only person who can take you in now. She's with the Forsaken.	If you don't want to go to the refuge site, then Grace is the only person who can take you in now. She's with the Forsaken.	If you don't want to go to the refuge site, then Grace is the only person who can take you in now. She's with the Forsaken.
100001836	0	200001836	0	0	I'm afraid the Child of Revelation can't look after more people than she does now.	I'm afraid the Child of Revelation can't look after more people than she does now.	I'm afraid the Child of Revelation can't look after more people than she does now.	I'm afraid the Child of Revelation can't look after more people than she does now.
100001837	0	200001837	0	0	That's for the Parliament to decide, but before they come up with a definite plan, would you both be able to travel to one of Babylonia's direct conservation areas with us as witnesses?	That's for the Parliament to decide, but before they come up with a definite plan, would you both be able to travel to one of Babylonia's direct conservation areas with us as witnesses?	That's for the Parliament to decide, but before they come up with a definite plan, would you both be able to travel to one of Babylonia's direct conservation areas with us as witnesses?	That's for the Parliament to decide, but before they come up with a definite plan, would you both be able to travel to one of Babylonia's direct conservation areas with us as witnesses?
100001838	0	200001838	0	0	Would it be dangerous?	Would it be dangerous?	Would it be dangerous?	Would it be dangerous?
100001839	0	200001839	0	0	Thank you, Commandant. I'll try to be quick with the investigation to get Purifying Force back on track.	Thank you, Commandant. I'll try to be quick with the investigation to get Purifying Force back on track.	Thank you, Commandant. I'll try to be quick with the investigation to get Purifying Force back on track.	Thank you, Commandant. I'll try to be quick with the investigation to get Purifying Force back on track.
100001840	0	200001840	0	0	Thank you, commandant.	Thank you, commandant.	Thank you, commandant.	Thank you, commandant.
100001841	0	200001841	0	0	Is Holy Maiden sad?	Is Holy Maiden sad?	Is Holy Maiden sad?	Is Holy Maiden sad?
100001842	0	200001842	0	0	I'm done. It's safe here, unlike how it was back at the church covered in snow. This is good, though... because I don't ever want to see you get hurt.	I'm done. It's safe here, unlike how it was back at the church covered in snow. This is good, though... because I don't ever want to see you get hurt.	I'm done. It's safe here, unlike how it was back at the church covered in snow. This is good, though... because I don't ever want to see you get hurt.	I'm done. It's safe here, unlike how it was back at the church covered in snow. This is good, though... because I don't ever want to see you get hurt.
100001843	0	200001843	0	0	...	...	...	...
100001844	0	200001844	0	0	I've never doubted the way Purifying Force handles all the misdeeds committed, but I never wanted to "deal with" it after all this has happened.	I've never doubted the way Purifying Force handles all the misdeeds committed, but I never wanted to "deal with" it after all this has happened.	I've never doubted the way Purifying Force handles all the misdeeds committed, but I never wanted to "deal with" it after all this has happened.	I've never doubted the way Purifying Force handles all the misdeeds committed, but I never wanted to "deal with" it after all this has happened.
100001845	0	200001845	0	0	Because it's exactly as they said—we just can't help everyone.	Because it's exactly as they said—we just can't help everyone.	Because it's exactly as they said—we just can't help everyone.	Because it's exactly as they said—we just can't help everyone.
100001846	0	200001846	0	0	Very logical of you, and that's a quality that a commandant should have that most people don't.	Very logical of you, and that's a quality that a commandant should have that most people don't.	Very logical of you, and that's a quality that a commandant should have that most people don't.	Very logical of you, and that's a quality that a commandant should have that most people don't.
100001847	0	200001847	0	0	Forcing people to be all cold and logical is both unrealistic and cruel, and people only grow more desperate and end up doing riskier things when threatened with punishment.	Forcing people to be all cold and logical is both unrealistic and cruel, and people only grow more desperate and end up doing riskier things when threatened with punishment.	Forcing people to be all cold and logical is both unrealistic and cruel, and people only grow more desperate and end up doing riskier things when threatened with punishment.	Forcing people to be all cold and logical is both unrealistic and cruel, and people only grow more desperate and end up doing riskier things when threatened with punishment.
100001848	0	200001848	0	0	Rennan has paid her price, so I just want to prevent something like this from happening instead of looking for ways to punish those in the wrong.	Rennan has paid her price, so I just want to prevent something like this from happening instead of looking for ways to punish those in the wrong.	Rennan has paid her price, so I just want to prevent something like this from happening instead of looking for ways to punish those in the wrong.	Rennan has paid her price, so I just want to prevent something like this from happening instead of looking for ways to punish those in the wrong.
100001849	0	200001849	0	0	And you'd be right, Commandant... There have been times when I was lost and couldn't think with a straight head, and I've only been able to pull through because you've always been by my side.	And you'd be right, Commandant... There have been times when I was lost and couldn't think with a straight head, and I've only been able to pull through because you've always been by my side.	And you'd be right, Commandant... There have been times when I was lost and couldn't think with a straight head, and I've only been able to pull through because you've always been by my side.	And you'd be right, Commandant... There have been times when I was lost and couldn't think with a straight head, and I've only been able to pull through because you've always been by my side.
100001850	0	200001850	0	0	Do you remember the dream I told you about?	Do you remember the dream I told you about?	Do you remember the dream I told you about?	Do you remember the dream I told you about?
100001851	0	200001851	0	0	This is where that dream ended...	This is where that dream ended...	This is where that dream ended...	This is where that dream ended...
100001852	0	200001852	0	0	You came here alone to this church—unaware that there were temporarily inactive Corrupted buried under the snow... because you only saw me, and I was just wandering about.	You came here alone to this church—unaware that there were temporarily inactive Corrupted buried under the snow... because you only saw me, and I was just wandering about.	You came here alone to this church—unaware that there were temporarily inactive Corrupted buried under the snow... because you only saw me, and I was just wandering about.	You came here alone to this church—unaware that there were temporarily inactive Corrupted buried under the snow... because you only saw me, and I was just wandering about.
100001853	0	200001853	0	0	Everything was blurry in the dream... except for your face, which I'll never forget.	Everything was blurry in the dream... except for your face, which I'll never forget.	Everything was blurry in the dream... except for your face, which I'll never forget.	Everything was blurry in the dream... except for your face, which I'll never forget.
100001854	0	200001854	0	0	And that... is how you gave me a chance to hurt you... and when the Gray Ravens got here...	And that... is how you gave me a chance to hurt you... and when the Gray Ravens got here...	And that... is how you gave me a chance to hurt you... and when the Gray Ravens got here...	And that... is how you gave me a chance to hurt you... and when the Gray Ravens got here...
100001855	0	200001855	0	0	...When I became a nun here, the godfather said, "Understand the heart's fragility, for it is because of it that devils and gods persist."	...When I became a nun here, the godfather said, "Understand the heart's fragility, for it is because of it that devils and gods persist."	...When I became a nun here, the godfather said, "Understand the heart's fragility, for it is because of it that devils and gods persist."	...When I became a nun here, the godfather said, "Understand the heart's fragility, for it is because of it that devils and gods persist."
100001856	0	200001856	0	0	Right or wrong and legal or not, humans fall prey to emotions, which is why humans love and hate and hurt and protect.	Right or wrong and legal or not, humans fall prey to emotions, which is why humans love and hate and hurt and protect.	Right or wrong and legal or not, humans fall prey to emotions, which is why humans love and hate and hurt and protect.	Right or wrong and legal or not, humans fall prey to emotions, which is why humans love and hate and hurt and protect.
100001857	0	200001857	0	0	And maybe somewhere down the road, when this church is completely buried under snow, I will be betrayed once more and take my last breath here.	And maybe somewhere down the road, when this church is completely buried under snow, I will be betrayed once more and take my last breath here.	And maybe somewhere down the road, when this church is completely buried under snow, I will be betrayed once more and take my last breath here.	And maybe somewhere down the road, when this church is completely buried under snow, I will be betrayed once more and take my last breath here.
100001858	0	200001858	0	0	Commandant...	Commandant...	Commandant...	Commandant...
100001859	0	200001859	0	0	Changes, huh...	Changes, huh...	Changes, huh...	Changes, huh...
100001860	0	200001860	0	0	...	...	...	...
100001861	0	200001861	0	0	Yes... this church is definitely changing, too.	Yes... this church is definitely changing, too.	Yes... this church is definitely changing, too.	Yes... this church is definitely changing, too.
100001862	0	200001862	0	0	Can you put the roses on my headband, Commandant? I want to remember what happened today and what you said—and that flowers can bloom in the snow, too.	Can you put the roses on my headband, Commandant? I want to remember what happened today and what you said—and that flowers can bloom in the snow, too.	Can you put the roses on my headband, Commandant? I want to remember what happened today and what you said—and that flowers can bloom in the snow, too.	Can you put the roses on my headband, Commandant? I want to remember what happened today and what you said—and that flowers can bloom in the snow, too.
100001863	0	200001863	0	0	Thank you... How does it look?	Thank you... How does it look?	Thank you... How does it look?	Thank you... How does it look?
100001864	0	200001864	0	0	This coating is no longer just a dream in the "snow"... It looks more like a wedding dress now, like what those people from WGAA said.	This coating is no longer just a dream in the "snow"... It looks more like a wedding dress now, like what those people from WGAA said.	This coating is no longer just a dream in the "snow"... It looks more like a wedding dress now, like what those people from WGAA said.	This coating is no longer just a dream in the "snow"... It looks more like a wedding dress now, like what those people from WGAA said.
100001865	0	200001865	0	0	I never thought it possible to have plants grow out of snow, and... I'd never craved putting flowers on this coating with "snowfield" as a motif.	I never thought it possible to have plants grow out of snow, and... I'd never craved putting flowers on this coating with "snowfield" as a motif.	I never thought it possible to have plants grow out of snow, and... I'd never craved putting flowers on this coating with "snowfield" as a motif.	I never thought it possible to have plants grow out of snow, and... I'd never craved putting flowers on this coating with "snowfield" as a motif.
100001866	0	200001866	0	0	I was ready to meet my fate before you came to me... not knowing that my "dream" would end differently.	I was ready to meet my fate before you came to me... not knowing that my "dream" would end differently.	I was ready to meet my fate before you came to me... not knowing that my "dream" would end differently.	I was ready to meet my fate before you came to me... not knowing that my "dream" would end differently.
100001867	0	200001867	0	0	Yes... flimsy as their faith was, they made it happen despite all odds.	Yes... flimsy as their faith was, they made it happen despite all odds.	Yes... flimsy as their faith was, they made it happen despite all odds.	Yes... flimsy as their faith was, they made it happen despite all odds.
100001868	0	200001868	0	0	Nothing binds one down better than sweet home—and knowing that it works, Ascendants have no trouble tricking people into betraying their friends and family.	Nothing binds one down better than sweet home—and knowing that it works, Ascendants have no trouble tricking people into betraying their friends and family.	Nothing binds one down better than sweet home—and knowing that it works, Ascendants have no trouble tricking people into betraying their friends and family.	Nothing binds one down better than sweet home—and knowing that it works, Ascendants have no trouble tricking people into betraying their friends and family.
100001869	0	200001869	0	0	We shouldn't blame them for choosing to side with the wrong people. Like you said, no one should ever get used to betrayal and parting ways with whom they love.	We shouldn't blame them for choosing to side with the wrong people. Like you said, no one should ever get used to betrayal and parting ways with whom they love.	We shouldn't blame them for choosing to side with the wrong people. Like you said, no one should ever get used to betrayal and parting ways with whom they love.	We shouldn't blame them for choosing to side with the wrong people. Like you said, no one should ever get used to betrayal and parting ways with whom they love.
100001870	0	200001870	0	0	And these all cause pain—pain that eventually sets the tone for people to part ways for good.	And these all cause pain—pain that eventually sets the tone for people to part ways for good.	And these all cause pain—pain that eventually sets the tone for people to part ways for good.	And these all cause pain—pain that eventually sets the tone for people to part ways for good.
100001871	0	200001871	0	0	People only want to stay where they feel warm. We need to open ourselves up to people, be encouraged, and help each other patch up.	People only want to stay where they feel warm. We need to open ourselves up to people, be encouraged, and help each other patch up.	People only want to stay where they feel warm. We need to open ourselves up to people, be encouraged, and help each other patch up.	People only want to stay where they feel warm. We need to open ourselves up to people, be encouraged, and help each other patch up.
100001872	0	200001872	0	0	Which is why I want to make changes.	Which is why I want to make changes.	Which is why I want to make changes.	Which is why I want to make changes.
100001873	0	200001873	0	0	Yes, but that's just one of the many changes I want to make. I'll have to come up with a detailed plan and have the Parliament's approval first.	Yes, but that's just one of the many changes I want to make. I'll have to come up with a detailed plan and have the Parliament's approval first.	Yes, but that's just one of the many changes I want to make. I'll have to come up with a detailed plan and have the Parliament's approval first.	Yes, but that's just one of the many changes I want to make. I'll have to come up with a detailed plan and have the Parliament's approval first.
100001874	0	200001874	0	0	The Phantom Tracer picked up the voiceprints of some other deserters now—and from that, we know that "Cthylla" is likely to be among Ascendants.	The Phantom Tracer picked up the voiceprints of some other deserters now—and from that, we know that "Cthylla" is likely to be among Ascendants.	The Phantom Tracer picked up the voiceprints of some other deserters now—and from that, we know that "Cthylla" is likely to be among Ascendants.	The Phantom Tracer picked up the voiceprints of some other deserters now—and from that, we know that "Cthylla" is likely to be among Ascendants.
100001875	0	200001875	0	0	I'm not surprised to find out that Project Winter still has to do with Ascendants, though.	I'm not surprised to find out that Project Winter still has to do with Ascendants, though.	I'm not surprised to find out that Project Winter still has to do with Ascendants, though.	I'm not surprised to find out that Project Winter still has to do with Ascendants, though.
100001876	0	200001876	0	0	Every time we try to bust them, they always manage to steer clear of investigation—sometimes by using a scapegoat, sometimes by telling the scapegoat that it'd be a chance for them to "redeem" themselves.	Every time we try to bust them, they always manage to steer clear of investigation—sometimes by using a scapegoat, sometimes by telling the scapegoat that it'd be a chance for them to "redeem" themselves.	Every time we try to bust them, they always manage to steer clear of investigation—sometimes by using a scapegoat, sometimes by telling the scapegoat that it'd be a chance for them to "redeem" themselves.	Every time we try to bust them, they always manage to steer clear of investigation—sometimes by using a scapegoat, sometimes by telling the scapegoat that it'd be a chance for them to "redeem" themselves.
100001877	0	200001877	0	0	Yup, and I'm never going to forgive those wiseasses for crossing that line.	Yup, and I'm never going to forgive those wiseasses for crossing that line.	Yup, and I'm never going to forgive those wiseasses for crossing that line.	Yup, and I'm never going to forgive those wiseasses for crossing that line.
100001878	0	200001878	0	0	...And that goes for you, too, Commandant.	...And that goes for you, too, Commandant.	...And that goes for you, too, Commandant.	...And that goes for you, too, Commandant.
100001879	0	200001879	0	0	Everyone sees the Gray Ravens as heroes, hence all the perks and how the Gray Ravens never really get into trouble for doing things that might be out of line.	Everyone sees the Gray Ravens as heroes, hence all the perks and how the Gray Ravens never really get into trouble for doing things that might be out of line.	Everyone sees the Gray Ravens as heroes, hence all the perks and how the Gray Ravens never really get into trouble for doing things that might be out of line.	Everyone sees the Gray Ravens as heroes, hence all the perks and how the Gray Ravens never really get into trouble for doing things that might be out of line.
100001880	0	200001880	0	0	Which is what puts you in frequent contact with Ascendants, and I just wanted you to never get in any trouble.	Which is what puts you in frequent contact with Ascendants, and I just wanted you to never get in any trouble.	Which is what puts you in frequent contact with Ascendants, and I just wanted you to never get in any trouble.	Which is what puts you in frequent contact with Ascendants, and I just wanted you to never get in any trouble.
100001881	0	200001881	0	0	You don't, but... I just really hate the idea of having to be the one to purify you down the road.	You don't, but... I just really hate the idea of having to be the one to purify you down the road.	You don't, but... I just really hate the idea of having to be the one to purify you down the road.	You don't, but... I just really hate the idea of having to be the one to purify you down the road.
100001882	0	200001882	0	0	...?	...?	...?	...?
100001883	0	200001883	0	0	Well, I guess a quick talk in the interrogation room will probably change your mind.	Well, I guess a quick talk in the interrogation room will probably change your mind.	Well, I guess a quick talk in the interrogation room will probably change your mind.	Well, I guess a quick talk in the interrogation room will probably change your mind.
100001884	0	200001884	0	0	...Are you sure?	...Are you sure?	...Are you sure?	...Are you sure?
